codigo,nombre,precio,iva,deposito,codigo_barras,stock_min,stock
2000275,EUROCOR 5 MG X 35 COMP,0.0,5,QUIROFANO(4),7800060416451,0.0,0.0
2000276,EUROGESIC FORTE 550 MG X 10 COMP (NAPROXENO),0.0,5,URGENCIAS(2),7800060403987,0.0,0.0
2000276,EUROGESIC FORTE 550 MG X 10 COMP (NAPROXENO),0.0,5,INTERNADO(3),7800060403987,0.0,0.0
2000276,EUROGESIC FORTE 550 MG X 10 COMP (NAPROXENO),0.0,5,QUIROFANO(4),7800060403987,0.0,0.0
2000277,EUROMICINA 250MG SUSP X 80ML (CLARITROMICINA),0.0,5,URGENCIAS(2),7800060410176,0.0,0.0
2000277,EUROMICINA 250MG SUSP X 80ML (CLARITROMICINA),0.0,5,INTERNADO(3),7800060410176,0.0,0.0
2000277,EUROMICINA 250MG SUSP X 80ML (CLARITROMICINA),0.0,5,QUIROFANO(4),7800060410176,0.0,0.0
2000278,EUROMICINA 500MG X 14 COMP REC (CLARITROMICINA),0.0,5,URGENCIAS(2),7800060403710,0.0,0.0
2000278,EUROMICINA 500MG X 14 COMP REC (CLARITROMICINA),0.0,5,INTERNADO(3),7800060403710,0.0,0.0
2000278,EUROMICINA 500MG X 14 COMP REC (CLARITROMICINA),0.0,5,QUIROFANO(4),7800060403710,0.0,0.0
2000279,"EUROPRES AM-D 160/10/12,5 X 30 COMP REC",0.0,5,URGENCIAS(2),7800060151567,0.0,0.0
2000279,"EUROPRES AM-D 160/10/12,5 X 30 COMP REC",0.0,5,INTERNADO(3),7800060151567,0.0,0.0
2000279,"EUROPRES AM-D 160/10/12,5 X 30 COMP REC",0.0,5,QUIROFANO(4),7800060151567,0.0,0.0
2000280,EUROVIR 400 MG X 15 COMP,0.0,5,URGENCIAS(2),7800060410336,0.0,0.0
2000280,EUROVIR 400 MG X 15 COMP,0.0,5,INTERNADO(3),7800060410336,0.0,0.0
2000280,EUROVIR 400 MG X 15 COMP,0.0,5,QUIROFANO(4),7800060410336,0.0,0.0
2000281,EUROVIR 800MG X 5 COMP,0.0,5,URGENCIAS(2),7800060403475,0.0,0.0
2000281,EUROVIR 800MG X 5 COMP,0.0,5,INTERNADO(3),7800060403475,0.0,0.0
2000281,EUROVIR 800MG X 5 COMP,0.0,5,QUIROFANO(4),7800060403475,0.0,0.0
2000282,EUROVIR CREMA X 5GR,0.0,5,URGENCIAS(2),7800060403123,0.0,0.0
2000282,EUROVIR CREMA X 5GR,0.0,5,INTERNADO(3),7800060403123,0.0,0.0
2000282,EUROVIR CREMA X 5GR,0.0,5,QUIROFANO(4),7800060403123,0.0,0.0
2000283,EXTRAFER GOTAS 30 ML,0.0,5,URGENCIAS(2),7840199110448,0.0,0.0
2000283,EXTRAFER GOTAS 30 ML,0.0,5,INTERNADO(3),7840199110448,0.0,0.0
2000283,EXTRAFER GOTAS 30 ML,0.0,5,QUIROFANO(4),7840199110448,0.0,0.0
2000284,EXTRAFER JARABE 120 ML,0.0,5,URGENCIAS(2),7840199086613,0.0,0.0
2000284,EXTRAFER JARABE 120 ML,0.0,5,INTERNADO(3),7840199086613,0.0,0.0
2000284,EXTRAFER JARABE 120 ML,0.0,5,QUIROFANO(4),7840199086613,0.0,0.0
2000285,FACTOR AG 200MG X 10 COMP,0.0,5,URGENCIAS(2),7791909106520,0.0,0.0
2000285,FACTOR AG 200MG X 10 COMP,0.0,5,INTERNADO(3),7791909106520,0.0,0.0
2000285,FACTOR AG 200MG X 10 COMP,0.0,5,QUIROFANO(4),7791909106520,0.0,0.0
2000286,FACTOR AG ANTIESPASMODICO GOTAS X 30ML,0.0,5,URGENCIAS(2),7791909105561,0.0,0.0
2000286,FACTOR AG ANTIESPASMODICO GOTAS X 30ML,0.0,5,INTERNADO(3),7791909105561,0.0,0.0
2000286,FACTOR AG ANTIESPASMODICO GOTAS X 30ML,0.0,5,QUIROFANO(4),7791909105561,0.0,0.0
2000287,FACTOR AG FORTE EMULSION 60ML,0.0,5,URGENCIAS(2),7791909107992,0.0,0.0
2000287,FACTOR AG FORTE EMULSION 60ML,0.0,5,INTERNADO(3),7791909107992,0.0,0.0
2000287,FACTOR AG FORTE EMULSION 60ML,0.0,5,QUIROFANO(4),7791909107992,0.0,0.0
2000288,FACTOR AG PEDIATRICO GTS X 30ML,0.0,5,URGENCIAS(2),7791909104496,0.0,0.0
2000288,FACTOR AG PEDIATRICO GTS X 30ML,0.0,5,INTERNADO(3),7791909104496,0.0,0.0
2000288,FACTOR AG PEDIATRICO GTS X 30ML,0.0,5,QUIROFANO(4),7791909104496,0.0,0.0
2000289,FACTOR DERMICO CREMA 10 GR,0.0,5,URGENCIAS(2),7791909104861,0.0,0.0
2000289,FACTOR DERMICO CREMA 10 GR,0.0,5,INTERNADO(3),7791909104861,0.0,0.0
2000289,FACTOR DERMICO CREMA 10 GR,0.0,5,QUIROFANO(4),7791909104861,0.0,0.0
2000290,FAMODINA 100MCG X 1 AMP 2ML,0.0,5,URGENCIAS(2),7841134007205,0.0,0.0
2000290,FAMODINA 100MCG X 1 AMP 2ML,0.0,5,INTERNADO(3),7841134007205,0.0,0.0
2000290,FAMODINA 100MCG X 1 AMP 2ML,0.0,5,QUIROFANO(4),7841134007205,0.0,0.0
2000291,FBUSTAT 80 MG X 20 COMP REC (FEBUXOSTAT),0.0,5,URGENCIAS(2),7841134007106,0.0,0.0
2000291,FBUSTAT 80 MG X 20 COMP REC (FEBUXOSTAT),0.0,5,INTERNADO(3),7841134007106,0.0,0.0
2000291,FBUSTAT 80 MG X 20 COMP REC (FEBUXOSTAT),0.0,5,QUIROFANO(4),7841134007106,0.0,0.0
2000292,"FENTANEST (CITRATO DE FENTANILO) 0,05MG/2ML",14000.0,5,FARMACIA INTERNA(1),2000292,0.0,6.0
2000292,"FENTANEST (CITRATO DE FENTANILO) 0,05MG/2ML",14000.0,5,URGENCIAS(2),2000292,0.0,0.0
2000292,"FENTANEST (CITRATO DE FENTANILO) 0,05MG/2ML",14000.0,5,INTERNADO(3),2000292,0.0,0.0
2000292,"FENTANEST (CITRATO DE FENTANILO) 0,05MG/2ML",14000.0,5,QUIROFANO(4),2000292,0.0,0.0
2000292,"FENTANEST (CITRATO DE FENTANILO) 0,05MG/2ML",14000.0,5,ADMINISTRACION,2000292,0.0,0.0
2000292,"FENTANEST (CITRATO DE FENTANILO) 0,05MG/2ML",14000.0,5,CARRO DE PARO,2000292,0.0,0.0
2000293,FERZIMAN 600MG X 20 COMP,0.0,5,URGENCIAS(2),7840199098005,0.0,0.0
2000293,FERZIMAN 600MG X 20 COMP,0.0,5,INTERNADO(3),7840199098005,0.0,0.0
2000293,FERZIMAN 600MG X 20 COMP,0.0,5,QUIROFANO(4),7840199098005,0.0,0.0
2000294,FIBROX XR 10MG X 20 COMP,0.0,5,URGENCIAS(2),7800060124080,0.0,0.0
2000294,FIBROX XR 10MG X 20 COMP,0.0,5,INTERNADO(3),7800060124080,0.0,0.0
2000294,FIBROX XR 10MG X 20 COMP,0.0,5,QUIROFANO(4),7800060124080,0.0,0.0
2000295,FISIODERM CREMA X 30 GR,53570.0,5,URGENCIAS(2),7793742008030,0.0,1.0
2000295,FISIODERM CREMA X 30 GR,53570.0,5,INTERNADO(3),7793742008030,0.0,0.0
2000295,FISIODERM CREMA X 30 GR,53570.0,5,QUIROFANO(4),7793742008030,0.0,0.0
2000296,FITOMENADIONA VITAMINA K 10MG X 1 AMP SUTCUTANEA,0.0,5,URGENCIAS(2),8400000000000,0.0,0.0
2000296,FITOMENADIONA VITAMINA K 10MG X 1 AMP SUTCUTANEA,0.0,5,INTERNADO(3),8400000000000,0.0,0.0
2000296,FITOMENADIONA VITAMINA K 10MG X 1 AMP SUTCUTANEA,0.0,5,QUIROFANO(4),8400000000000,0.0,0.0
2000297,FLEET ENEMA INFANTIL FCO X 66ML,42000.0,5,URGENCIAS(2),301320202601,0.0,3.0
2000297,FLEET ENEMA INFANTIL FCO X 66ML,42000.0,5,INTERNADO(3),301320202601,0.0,0.0
2000297,FLEET ENEMA INFANTIL FCO X 66ML,42000.0,5,QUIROFANO(4),301320202601,0.0,0.0
2000297,FLEET ENEMA INFANTIL FCO X 66ML,42000.0,5,ADMINISTRACION,301320202601,0.0,0.0
2000297,FLEET ENEMA INFANTIL FCO X 66ML,42000.0,5,CARRO DE PARO,301320202601,0.0,0.0
2000298,FLEMEX JAT JBE X 120 ML,0.0,5,URGENCIAS(2),7800026025505,0.0,0.0
2000298,FLEMEX JAT JBE X 120 ML,0.0,5,INTERNADO(3),7800026025505,0.0,0.0
2000298,FLEMEX JAT JBE X 120 ML,0.0,5,QUIROFANO(4),7800026025505,0.0,0.0
2000299,FLEXICAMIN B12 X 1 AMP,0.0,5,URGENCIAS(2),8400000003148,0.0,0.0
2000299,FLEXICAMIN B12 X 1 AMP,0.0,5,INTERNADO(3),8400000003148,0.0,0.0
2000299,FLEXICAMIN B12 X 1 AMP,0.0,5,QUIROFANO(4),8400000003148,0.0,0.0
2000300,FLEXINA 600MG X 20 COMP,0.0,5,URGENCIAS(2),7791984001031,0.0,0.0
2000300,FLEXINA 600MG X 20 COMP,0.0,5,INTERNADO(3),7791984001031,0.0,0.0
2000300,FLEXINA 600MG X 20 COMP,0.0,5,QUIROFANO(4),7791984001031,0.0,0.0
2000301,FLOGIATRIN B12 NF X 1 AMP + SOLV,0.0,5,URGENCIAS(2),7840775402264,0.0,0.0
2000301,FLOGIATRIN B12 NF X 1 AMP + SOLV,0.0,5,INTERNADO(3),7840775402264,0.0,0.0
2000301,FLOGIATRIN B12 NF X 1 AMP + SOLV,0.0,5,QUIROFANO(4),7840775402264,0.0,0.0
2000302,"FLUMAZENIL 0,5MG AMP",0.0,5,URGENCIAS(2),8400000003223,0.0,0.0
2000302,"FLUMAZENIL 0,5MG AMP",0.0,5,INTERNADO(3),8400000003223,0.0,0.0
2000302,"FLUMAZENIL 0,5MG AMP",0.0,5,QUIROFANO(4),8400000003223,0.0,0.0
2000303,FLUOMIT ADULTO X 120ML,0.0,5,URGENCIAS(2),7800007802040,0.0,0.0
2000303,FLUOMIT ADULTO X 120ML,0.0,5,INTERNADO(3),7800007802040,0.0,0.0
2000303,FLUOMIT ADULTO X 120ML,0.0,5,QUIROFANO(4),7800007802040,0.0,0.0
2000304,FLUSTEINA 300 X 1AMP 100MG/ML (ACETILCISTEINA),0.0,5,URGENCIAS(2),7840213267400,0.0,0.0
2000304,FLUSTEINA 300 X 1AMP 100MG/ML (ACETILCISTEINA),0.0,5,INTERNADO(3),7840213267400,0.0,0.0
2000304,FLUSTEINA 300 X 1AMP 100MG/ML (ACETILCISTEINA),0.0,5,QUIROFANO(4),7840213267400,0.0,0.0
2000305,FLUSTEINA 600 X 30 SOBRES X 5 GR,0.0,5,URGENCIAS(2),7840213255148,0.0,0.0
2000305,FLUSTEINA 600 X 30 SOBRES X 5 GR,0.0,5,INTERNADO(3),7840213255148,0.0,0.0
2000305,FLUSTEINA 600 X 30 SOBRES X 5 GR,0.0,5,QUIROFANO(4),7840213255148,0.0,0.0
2000306,FLUSTEINA SOL. ORAL X 100ML,0.0,5,URGENCIAS(2),7840213261514,0.0,0.0
2000306,FLUSTEINA SOL. ORAL X 100ML,0.0,5,INTERNADO(3),7840213261514,0.0,0.0
2000306,FLUSTEINA SOL. ORAL X 100ML,0.0,5,QUIROFANO(4),7840213261514,0.0,0.0
2000307,FLUTEROL 250 MCG SUSP. INHA X 120 DOSIS,0.0,5,URGENCIAS(2),7841134003207,0.0,0.0
2000307,FLUTEROL 250 MCG SUSP. INHA X 120 DOSIS,0.0,5,INTERNADO(3),7841134003207,0.0,0.0
2000307,FLUTEROL 250 MCG SUSP. INHA X 120 DOSIS,0.0,5,QUIROFANO(4),7841134003207,0.0,0.0
2000308,FLUTISAN PLUS SPRAY NASAL X 12ML,0.0,5,URGENCIAS(2),7841134008639,0.0,0.0
2000308,FLUTISAN PLUS SPRAY NASAL X 12ML,0.0,5,INTERNADO(3),7841134008639,0.0,0.0
2000308,FLUTISAN PLUS SPRAY NASAL X 12ML,0.0,5,QUIROFANO(4),7841134008639,0.0,0.0
2000309,FORTINIL (ETILEFRINA 10MG X 1ML),53000.0,5,URGENCIAS(2),7840213028940,0.0,0.0
2000309,FORTINIL (ETILEFRINA 10MG X 1ML),53000.0,5,INTERNADO(3),7840213028940,0.0,0.0
2000309,FORTINIL (ETILEFRINA 10MG X 1ML),53000.0,5,QUIROFANO(4),7840213028940,0.0,0.0
2000310,FORTINIL X 30 COMP,0.0,5,URGENCIAS(2),7840213028926,0.0,0.0
2000310,FORTINIL X 30 COMP,0.0,5,INTERNADO(3),7840213028926,0.0,0.0
2000310,FORTINIL X 30 COMP,0.0,5,QUIROFANO(4),7840213028926,0.0,0.0
2000311,FOSFO DOM SOL. ORAL X 45ML,0.0,5,URGENCIAS(2),7795327000118,0.0,0.0
2000311,FOSFO DOM SOL. ORAL X 45ML,0.0,5,INTERNADO(3),7795327000118,0.0,0.0
2000311,FOSFO DOM SOL. ORAL X 45ML,0.0,5,QUIROFANO(4),7795327000118,0.0,0.0
2000312,FOSFOSODA JENGIBRE LIMON FCO.45 ML,0.0,5,URGENCIAS(2),301320105049,0.0,0.0
2000312,FOSFOSODA JENGIBRE LIMON FCO.45 ML,0.0,5,INTERNADO(3),301320105049,0.0,0.0
2000312,FOSFOSODA JENGIBRE LIMON FCO.45 ML,0.0,5,QUIROFANO(4),301320105049,0.0,0.0
2000312,FOSFOSODA JENGIBRE LIMON FCO.45 ML,0.0,5,ADMINISTRACION,301320105049,0.0,0.0
2000312,FOSFOSODA JENGIBRE LIMON FCO.45 ML,0.0,5,CARRO DE PARO,301320105049,0.0,0.0
2000313,FOTORRETIN SOL. OFTALMICA X 5ML,0.0,5,URGENCIAS(2),7795368000979,0.0,0.0
2000313,FOTORRETIN SOL. OFTALMICA X 5ML,0.0,5,INTERNADO(3),7795368000979,0.0,0.0
2000313,FOTORRETIN SOL. OFTALMICA X 5ML,0.0,5,QUIROFANO(4),7795368000979,0.0,0.0
2000314,FUCOXIN (CIPRO) 400MG FCO AMP 200ML,195000.0,5,URGENCIAS(2),7840036005517,0.0,0.0
2000314,FUCOXIN (CIPRO) 400MG FCO AMP 200ML,195000.0,5,INTERNADO(3),7840036005517,0.0,0.0
2000314,FUCOXIN (CIPRO) 400MG FCO AMP 200ML,195000.0,5,QUIROFANO(4),7840036005517,0.0,0.0
2000315,FUSIFAR CREMA X 15GR,77320.0,5,URGENCIAS(2),7840653006836,0.0,0.0
2000315,FUSIFAR CREMA X 15GR,77320.0,5,INTERNADO(3),7840653006836,0.0,0.0
2000315,FUSIFAR CREMA X 15GR,77320.0,5,QUIROFANO(4),7840653006836,0.0,0.0
2000316,FUSIMED B EMULSION OTONASAL X 15GRS,0.0,5,URGENCIAS(2),7795373013773,0.0,0.0
2000316,FUSIMED B EMULSION OTONASAL X 15GRS,0.0,5,INTERNADO(3),7795373013773,0.0,0.0
2000316,FUSIMED B EMULSION OTONASAL X 15GRS,0.0,5,QUIROFANO(4),7795373013773,0.0,0.0
2000317,GADAVYT PROTEIN PA 10G/30ML X 900 ML,0.0,5,URGENCIAS(2),854933100210,0.0,0.0
